date,latitude,longitude,state,district,rainfall_mm,temperature,humidity,elevation_m,slope_degree,soil_type,river_level,road_condition,traffic_level,historical_incidents,incident_type,incident_severity,road_blocked,delay_minutes
2023-01-01,25.9928,92.3603,Meghalaya,Ri Bhoi,0.9,27.1,54.7,1658,4.9,Laterite,3.36,Fair,Low,0,None,None,False,13
2023-01-01,26.3257,94.2549,Assam,Sonitpur,2.0,7.0,62.5,93,0.0,Red Loamy,4.57,Good,Low,1,None,None,False,9
2023-01-01,24.7893,93.9286,Manipur,Senapati,4.1,14.6,41.8,1097,2.6,Laterite,5.01,Good,Low,0,None,None,False,7
2023-01-01,25.593,95.0527,Assam,Dibrugarh,0.5,15.9,72.4,159,5.5,Alluvial,2.85,Good,Low,1,None,None,False,1
2023-01-01,25.2916,94.6123,Manipur,Tamenglong,2.0,10.3,36.8,1967,11.4,Clayey,6.46,Fair,Moderate,1,None,None,False,6
2023-01-01,27.233,90.2802,Assam,Sonitpur,4.1,19.7,54.4,91,0.0,Laterite,2.34,Good,Moderate,0,None,None,False,6
2023-01-02,24.8595,92.914,Assam,Kamrup,0.0,34.3,53.2,125,12.8,Mountain Soil,3.84,Damaged,Moderate,6,Traffic Jam,High,True,311
2023-01-02,27.447,88.4366,Sikkim,West Sikkim,4.5,13.5,62.2,2571,24.8,Laterite,3.1,Fair,High,0,None,None,False,22
2023-01-02,23.8478,91.2152,Tripura,Khowai,0.3,28.3,57.0,731,4.4,Laterite,4.02,Good,Low,0,None,None,False,5
2023-01-02,25.2344,93.9877,Assam,Kamrup,0.2,28.5,66.1,50,0.0,Sandy Loam,4.1,Fair,Low,0,None,None,False,2
2023-01-02,27.5782,88.0197,Sikkim,East Sikkim,0.9,19.4,52.6,2006,23.6,Clayey,0.56,Fair,Moderate,0,None,None,False,11
2023-01-02,25.1236,93.8923,Manipur,Senapati,1.2,10.5,55.4,1916,18.8,Laterite,4.85,Good,Moderate,0,None,None,False,9
2023-01-03,25.6865,93.7094,Nagaland,Tuensang,2.4,24.1,63.6,839,0.5,Laterite,3.17,Fair,Moderate,0,None,None,False,4
2023-01-03,22.8256,92.5406,Mizoram,Champhai,4.0,11.7,54.7,1192,3.5,Mountain Soil,2.77,Good,Low,0,None,None,False,0
2023-01-03,27.4774,95.4411,Arunachal Pradesh,East Siang,2.5,21.6,55.1,1861,35.3,Clayey,5.06,Fair,Low,0,None,None,False,0
2023-01-03,27.0528,88.7064,Sikkim,East Sikkim,0.2,20.2,58.3,1915,21.7,Sandy Loam,3.61,Fair,High,0,None,None,False,2
2023-01-04,25.7404,91.5465,Meghalaya,East Khasi Hills,2.3,12.0,61.5,1782,14.3,Laterite,1.53,Good,Moderate,1,None,None,False,11
2023-01-04,28.0238,88.622,Sikkim,East Sikkim,0.0,10.0,47.7,3132,12.6,Sandy Loam,5.85,Good,Low,3,None,None,False,31
2023-01-05,25.4717,92.0754,Meghalaya,West Garo Hills,0.5,20.9,54.4,800,10.3,Laterite,3.24,Good,Low,0,None,None,False,3
2023-01-05,27.7812,88.5724,Sikkim,East Sikkim,0.4,9.3,69.2,4274,38.3,Forest Soil,5.11,Fair,Moderate,0,None,None,False,4
2023-01-05,23.4195,92.4772,Mizoram,Serchhip,2.9,27.8,33.9,626,11.4,Laterite,4.28,Good,High,0,None,None,False,28
2023-01-05,23.5678,91.5522,Tripura,Dhalai,6.7,12.7,46.3,790,2.8,Clayey,5.16,Fair,Moderate,0,None,None,False,2
2023-01-05,25.2862,92.559,Meghalaya,Ri Bhoi,1.8,15.8,71.8,1478,19.2,Forest Soil,2.51,Fair,High,3,None,None,False,10
2023-01-06,25.7781,93.065,Assam,Nagaon,4.3,26.7,47.2,51,0.0,Sandy Loam,4.01,Fair,Low,1,None,None,False,0
2023-01-07,25.2655,92.068,Meghalaya,East Khasi Hills,1.1,24.6,58.6,443,3.2,Clayey,4.25,Good,Moderate,0,None,None,False,18
2023-01-07,28.4469,95.1218,Arunachal Pradesh,East Siang,0.3,13.0,76.0,1687,22.9,Forest Soil,2.88,Fair,Moderate,0,None,None,False,2
2023-01-07,27.5837,91.5662,Arunachal Pradesh,Changlang,5.2,28.4,46.0,2113,14.4,Alluvial,3.78,Good,Moderate,3,None,None,False,8
2023-01-07,25.3212,93.9146,Manipur,Tamenglong,8.2,18.2,30.9,1344,5.1,Forest Soil,3.5,Good,Low,1,None,None,False,6
2023-01-07,23.878,92.416,Mizoram,Mamit,0.4,23.8,47.1,735,17.3,Laterite,3.79,Good,Moderate,1,None,None,False,22
2023-01-07,23.0145,92.1496,Tripura,Khowai,1.3,18.3,57.4,288,15.1,Red Loamy,3.73,Good,Moderate,0,None,None,False,13
2023-01-08,23.012,91.8969,Tripura,North Tripura,4.7,23.2,47.9,482,10.9,Mountain Soil,4.4,Fair,Low,0,None,None,False,5
2023-01-08,27.6252,88.6142,Sikkim,South Sikkim,2.3,21.5,73.6,658,4.7,Mountain Soil,4.53,Good,Low,2,None,None,False,7
2023-01-08,27.7236,88.2794,Sikkim,North Sikkim,3.5,18.0,51.1,1086,0.0,Red Loamy,3.49,Good,Low,1,None,None,False,0
2023-01-08,24.3639,94.682,Manipur,Churachandpur,9.5,20.6,67.6,1651,14.2,Laterite,4.65,Good,Moderate,0,None,None,False,9
2023-01-09,24.0696,93.1783,Mizoram,Champhai,1.2,13.2,45.0,1144,3.8,Forest Soil,4.13,Fair,Moderate,0,None,None,False,5
2023-01-09,24.091,93.0177,Manipur,Senapati,4.5,12.1,48.7,1047,4.1,Alluvial,4.67,Good,Moderate,0,None,None,False,18
2023-01-09,26.7073,94.8074,Nagaland,Tuensang,0.7,19.2,63.3,748,0.0,Alluvial,2.94,Fair,Moderate,1,None,None,False,0
2023-01-10,25.4729,91.9582,Meghalaya,Ri Bhoi,0.3,20.0,36.7,1129,6.8,Clayey,3.61,Fair,Moderate,1,None,None,False,6
2023-01-10,23.0227,92.2203,Tripura,North Tripura,7.9,29.1,32.9,543,0.0,Laterite,4.81,Good,Moderate,3,None,None,False,16
2023-01-10,22.9646,92.1811,Tripura,Dhalai,6.6,17.7,49.0,394,8.4,Red Loamy,5.23,Fair,High,1,None,None,False,25
2023-01-10,25.7836,93.8546,Nagaland,Mon,0.3,34.3,69.9,677,2.1,Sandy Loam,3.66,Good,Low,0,None,None,False,7
2023-01-11,25.5364,93.9533,Assam,Cachar,0.2,24.0,23.8,131,2.7,Alluvial,2.25,Good,Low,0,None,None,False,0
2023-01-11,25.5495,91.6735,Meghalaya,South Garo Hills,4.3,20.2,46.8,391,0.0,Laterite,1.65,Fair,Moderate,0,None,None,False,9
2023-01-11,25.0058,90.2733,Meghalaya,East Khasi Hills,2.6,17.6,51.6,909,5.8,Alluvial,4.31,Fair,Moderate,1,None,None,False,0
